
InvoiceID,InvoiceLineID,accm_txn_complete_time
1,1,2021-01-06 00:00:00
1,2,2021-01-05 00:00:00
2,3,2021-01-06 00:00:00
2,4,2021-01-06 00:00:00
2,5,2021-01-05 00:00:00
2,6,2021-01-08 00:00:00
3,7,2021-01-10 00:00:00
3,8,2021-01-09 00:00:00
3,9,2021-01-08 00:00:00
3,10,2021-01-07 00:00:00
3,11,2021-01-09 00:00:00
3,12,2021-01-06 00:00:00
4,13,2021-01-09 00:00:00
4,14,2021-01-12 00:00:00
4,15,2021-01-10 00:00:00
4,16,2021-01-12 00:00:00
4,17,2021-01-10 00:00:00
4,18,2021-01-11 00:00:00
4,19,2021-01-13 00:00:00
4,20,2021-01-09 00:00:00
4,21,2021-01-10 00:00:00
5,22,2021-01-14 00:00:00
5,23,2021-01-14 00:00:00
5,24,2021-01-17 00:00:00
5,25,2021-01-16 00:00:00
5,26,2021-01-17 00:00:00
5,27,2021-01-18 00:00:00
5,28,2021-01-18 00:00:00
5,29,2021-01-18 00:00:00
5,30,2021-01-18 00:00:00
5,31,2021-01-14 00:00:00
5,32,2021-01-16 00:00:00
5,33,2021-01-14 00:00:00
5,34,2021-01-17 00:00:00
5,35,2021-01-14 00:00:00
6,36,2021-01-23 00:00:00
7,37,2021-02-07 00:00:00
7,38,2021-02-08 00:00:00
8,39,2021-02-04 00:00:00
8,40,2021-02-08 00:00:00
9,41,2021-02-08 00:00:00
9,42,2021-02-05 00:00:00
9,43,2021-02-05 00:00:00
9,44,2021-02-09 00:00:00
10,45,2021-02-10 00:00:00
10,46,2021-02-09 00:00:00
10,47,2021-02-10 00:00:00
10,48,2021-02-07 00:00:00
10,49,2021-02-07 00:00:00
10,50,2021-02-08 00:00:00
11,51,2021-02-09 00:00:00
11,52,2021-02-12 00:00:00
11,53,2021-02-10 00:00:00
11,54,2021-02-09 00:00:00
11,55,2021-02-09 00:00:00
11,56,2021-02-11 00:00:00
11,57,2021-02-10 00:00:00
11,58,2021-02-09 00:00:00
11,59,2021-02-09 00:00:00
12,60,2021-02-17 00:00:00
12,61,2021-02-18 00:00:00
12,62,2021-02-14 00:00:00
12,63,2021-02-17 00:00:00
12,64,2021-02-17 00:00:00
12,65,2021-02-14 00:00:00
12,66,2021-02-18 00:00:00
12,67,2021-02-18 00:00:00
12,68,2021-02-18 00:00:00
12,69,2021-02-18 00:00:00
12,70,2021-02-17 00:00:00
12,71,2021-02-17 00:00:00
12,72,2021-02-17 00:00:00
12,73,2021-02-15 00:00:00
13,74,2021-02-25 00:00:00
14,75,2021-03-10 00:00:00
14,76,2021-03-09 00:00:00
15,77,2021-03-07 00:00:00
15,78,2021-03-09 00:00:00
16,79,2021-03-08 00:00:00
16,80,2021-03-11 00:00:00
16,81,2021-03-12 00:00:00
16,82,2021-03-10 00:00:00
17,83,2021-03-11 00:00:00
17,84,2021-03-12 00:00:00
17,85,2021-03-13 00:00:00
17,86,2021-03-11 00:00:00
17,87,2021-03-11 00:00:00
17,88,2021-03-11 00:00:00
18,89,2021-03-15 00:00:00
18,90,2021-03-15 00:00:00
18,91,2021-03-13 00:00:00
18,92,2021-03-12 00:00:00
18,93,2021-03-16 00:00:00
18,94,2021-03-14 00:00:00
18,95,2021-03-16 00:00:00
18,96,2021-03-16 00:00:00
18,97,2021-03-12 00:00:00
19,98,2021-03-20 00:00:00
19,99,2021-03-20 00:00:00
19,100,2021-03-21 00:00:00
19,101,2021-03-19 00:00:00
19,102,2021-03-20 00:00:00
19,103,2021-03-18 00:00:00
19,104,2021-03-19 00:00:00
19,105,2021-03-17 00:00:00
19,106,2021-03-19 00:00:00
19,107,2021-03-20 00:00:00
19,108,2021-03-18 00:00:00
19,109,2021-03-17 00:00:00
19,110,2021-03-20 00:00:00
19,111,2021-03-21 00:00:00
20,112,2021-03-27 00:00:00
21,113,2021-04-11 00:00:00
21,114,2021-04-10 00:00:00
22,115,2021-04-09 00:00:00
22,116,2021-04-09 00:00:00
23,117,2021-04-10 00:00:00
23,118,2021-04-09 00:00:00
23,119,2021-04-10 00:00:00
23,120,2021-04-11 00:00:00
24,121,2021-04-12 00:00:00
24,122,2021-04-10 00:00:00
24,123,2021-04-12 00:00:00
24,124,2021-04-10 00:00:00
24,125,2021-04-12 00:00:00
24,126,2021-04-11 00:00:00
25,127,2021-04-13 00:00:00
25,128,2021-04-13 00:00:00
25,129,2021-04-14 00:00:00
25,130,2021-04-16 00:00:00
25,131,2021-04-14 00:00:00
25,132,2021-04-12 00:00:00
25,133,2021-04-14 00:00:00
25,134,2021-04-14 00:00:00
25,135,2021-04-16 00:00:00
26,136,2021-04-21 00:00:00
26,137,2021-04-18 00:00:00
26,138,2021-04-17 00:00:00
26,139,2021-04-21 00:00:00
26,140,2021-04-17 00:00:00
26,141,2021-04-20 00:00:00
26,142,2021-04-20 00:00:00
26,143,2021-04-18 00:00:00
26,144,2021-04-21 00:00:00
26,145,2021-04-21 00:00:00
26,146,2021-04-18 00:00:00
26,147,2021-04-20 00:00:00
26,148,2021-04-18 00:00:00
26,149,2021-04-19 00:00:00
27,150,2021-04-29 00:00:00
28,151,2021-05-09 00:00:00
28,152,2021-05-10 00:00:00
29,153,2021-05-12 00:00:00
29,154,2021-05-12 00:00:00
30,155,2021-05-12 00:00:00
30,156,2021-05-11 00:00:00
30,157,2021-05-09 00:00:00
30,158,2021-05-12 00:00:00
31,159,2021-05-11 00:00:00
31,160,2021-05-11 00:00:00
31,161,2021-05-13 00:00:00
31,162,2021-05-10 00:00:00
31,163,2021-05-14 00:00:00
31,164,2021-05-14 00:00:00
32,165,2021-05-15 00:00:00
32,166,2021-05-15 00:00:00
32,167,2021-05-17 00:00:00
32,168,2021-05-17 00:00:00
32,169,2021-05-13 00:00:00
32,170,2021-05-14 00:00:00
32,171,2021-05-15 00:00:00
32,172,2021-05-17 00:00:00
32,173,2021-05-17 00:00:00
33,174,2021-05-22 00:00:00
33,175,2021-05-21 00:00:00
33,176,2021-05-22 00:00:00
33,177,2021-05-22 00:00:00
33,178,2021-05-18 00:00:00
33,179,2021-05-18 00:00:00
33,180,2021-05-21 00:00:00
33,181,2021-05-19 00:00:00
33,182,2021-05-20 00:00:00
33,183,2021-05-22 00:00:00
33,184,2021-05-22 00:00:00
33,185,2021-05-22 00:00:00
33,186,2021-05-19 00:00:00
33,187,2021-05-19 00:00:00
34,188,2021-05-27 00:00:00
35,189,2021-06-10 00:00:00
35,190,2021-06-10 00:00:00
36,191,2021-06-11 00:00:00
36,192,2021-06-09 00:00:00
37,193,2021-06-11 00:00:00
37,194,2021-06-12 00:00:00
37,195,2021-06-11 00:00:00
37,196,2021-06-12 00:00:00
38,197,2021-06-12 00:00:00
38,198,2021-06-13 00:00:00
38,199,2021-06-14 00:00:00
38,200,2021-06-10 00:00:00
38,201,2021-06-13 00:00:00
38,202,2021-06-11 00:00:00
39,203,2021-06-14 00:00:00
39,204,2021-06-13 00:00:00
39,205,2021-06-14 00:00:00
39,206,2021-06-13 00:00:00
39,207,2021-06-14 00:00:00
39,208,2021-06-15 00:00:00
39,209,2021-06-17 00:00:00
39,210,2021-06-16 00:00:00
39,211,2021-06-17 00:00:00
40,212,2021-06-20 00:00:00
40,213,2021-06-22 00:00:00
40,214,2021-06-20 00:00:00
40,215,2021-06-22 00:00:00
40,216,2021-06-22 00:00:00
40,217,2021-06-18 00:00:00
40,218,2021-06-19 00:00:00
40,219,2021-06-21 00:00:00
40,220,2021-06-22 00:00:00
40,221,2021-06-22 00:00:00
40,222,2021-06-20 00:00:00
40,223,2021-06-22 00:00:00
40,224,2021-06-22 00:00:00
40,225,2021-06-19 00:00:00
41,226,2021-06-29 00:00:00
42,227,2021-07-09 00:00:00
42,228,2021-07-12 00:00:00
43,229,2021-07-09 00:00:00
43,230,2021-07-09 00:00:00
44,231,2021-07-12 00:00:00
44,232,2021-07-13 00:00:00
44,233,2021-07-10 00:00:00
44,234,2021-07-12 00:00:00
45,235,2021-07-12 00:00:00
45,236,2021-07-12 00:00:00
45,237,2021-07-13 00:00:00
45,238,2021-07-13 00:00:00
45,239,2021-07-15 00:00:00
45,240,2021-07-13 00:00:00
46,241,2021-07-14 00:00:00
46,242,2021-07-18 00:00:00
46,243,2021-07-17 00:00:00
46,244,2021-07-14 00:00:00
46,245,2021-07-18 00:00:00
46,246,2021-07-16 00:00:00
46,247,2021-07-14 00:00:00
46,248,2021-07-18 00:00:00
46,249,2021-07-18 00:00:00
47,250,2021-07-19 00:00:00
47,251,2021-07-19 00:00:00
47,252,2021-07-21 00:00:00
47,253,2021-07-20 00:00:00
47,254,2021-07-21 00:00:00
47,255,2021-07-19 00:00:00
47,256,2021-07-22 00:00:00
47,257,2021-07-19 00:00:00
47,258,2021-07-23 00:00:00
47,259,2021-07-22 00:00:00
47,260,2021-07-22 00:00:00
47,261,2021-07-20 00:00:00
47,262,2021-07-19 00:00:00
47,263,2021-07-21 00:00:00
48,264,2021-07-30 00:00:00
49,265,2021-08-13 00:00:00
49,266,2021-08-10 00:00:00
50,267,2021-08-12 00:00:00
50,268,2021-08-11 00:00:00
51,269,2021-08-14 00:00:00
51,270,2021-08-10 00:00:00
51,271,2021-08-10 00:00:00
51,272,2021-08-11 00:00:00
52,273,2021-08-13 00:00:00
52,274,2021-08-12 00:00:00
52,275,2021-08-11 00:00:00
52,276,2021-08-12 00:00:00
52,277,2021-08-15 00:00:00
52,278,2021-08-15 00:00:00
53,279,2021-08-18 00:00:00
53,280,2021-08-15 00:00:00
53,281,2021-08-15 00:00:00
53,282,2021-08-14 00:00:00
53,283,2021-08-15 00:00:00
53,284,2021-08-16 00:00:00
53,285,2021-08-16 00:00:00
53,286,2021-08-16 00:00:00
53,287,2021-08-14 00:00:00
54,288,2021-08-23 00:00:00
54,289,2021-08-21 00:00:00
54,290,2021-08-19 00:00:00
54,291,2021-08-20 00:00:00
54,292,2021-08-20 00:00:00
54,293,2021-08-21 00:00:00
54,294,2021-08-20 00:00:00
54,295,2021-08-19 00:00:00
54,296,2021-08-21 00:00:00
54,297,2021-08-23 00:00:00
54,298,2021-08-21 00:00:00
54,299,2021-08-23 00:00:00
54,300,2021-08-23 00:00:00
54,301,2021-08-22 00:00:00
55,302,2021-08-28 00:00:00
56,303,2021-09-12 00:00:00
56,304,2021-09-13 00:00:00
57,305,2021-09-13 00:00:00
57,306,2021-09-09 00:00:00
58,307,2021-09-10 00:00:00
58,308,2021-09-10 00:00:00
58,309,2021-09-14 00:00:00
58,310,2021-09-14 00:00:00
59,311,2021-09-15 00:00:00
59,312,2021-09-12 00:00:00
59,313,2021-09-13 00:00:00
59,314,2021-09-14 00:00:00
59,315,2021-09-11 00:00:00
59,316,2021-09-11 00:00:00
60,317,2021-09-14 00:00:00
60,318,2021-09-17 00:00:00
60,319,2021-09-14 00:00:00
60,320,2021-09-18 00:00:00
60,321,2021-09-15 00:00:00
60,322,2021-09-17 00:00:00
60,323,2021-09-14 00:00:00
60,324,2021-09-15 00:00:00
60,325,2021-09-15 00:00:00
61,326,2021-09-20 00:00:00
61,327,2021-09-22 00:00:00
61,328,2021-09-23 00:00:00
61,329,2021-09-20 00:00:00
61,330,2021-09-21 00:00:00
61,331,2021-09-20 00:00:00
61,332,2021-09-20 00:00:00
61,333,2021-09-21 00:00:00
